"district","candidate_placement","candidate_name","candidate_answer_status","candidate_url","party","done","candidate_photo_url"
"Norðaustur",4,"Hólmfríður Sólveig Haraldsdóttir","cand not","/kosningar2013/frambod/fulltrui/Holmfridur-Solveig-Haraldsdottir/","Dögun",0,"/media/althingi2013/frambjodendur/H%C3%B3lmfr%C3%AD%C3%B0ur_S%C3%B3lveig_Haraldsd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",5,"Benedikt Sigurðarson","cand ok","/kosningar2013/frambod/fulltrui/Benedikt-Sigurdarson/","Dögun",1,"/media/althingi2013/frambjodendur/Benedikt_Sigur%C3%B0arson_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",1,"Aðalheiður Ámundadóttir","cand ok","/kosningar2013/frambod/fulltrui/Adalheidur-Amundadottir/","Píratar",1,"/media/althingi2013/frambjodendur/Adalheidur_Amunda_130576-4359_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",2,"Þórgnýr Thoroddsen","cand ok","/kosningar2013/frambod/fulltrui/THorgnyr-Thoroddsen/","Píratar",1,"/media/althingi2013/frambjodendur/Thorgnyr_Thoroddsen_250382-4649_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",3,"Helgi Laxdal","cand ok","/kosningar2013/frambod/fulltrui/Helgi-Laxdal/","Píratar",1,"/media/althingi2013/nopic.jpg"
"Norðaustur",4,"Kristín Elfa Guðnadóttir","cand ok","/kosningar2013/frambod/fulltrui/Kristin-Elfa-Gudnadottir/","Píratar",1,"/media/althingi2013/nopic.jpg"
"Norðaustur",5,"Bjarki Sigursveinsson","cand ok","/kosningar2013/frambod/fulltrui/Bjarki-Sigursveinsson/","Píratar",1,"/media/althingi2013/frambjodendur/Bjarki_Sigursveins_0411824079_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",1,"Sigríður Stefánsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Sigridur-Stefansdottir/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/sigridurStefans_JPG_310x400_crop_upscale_q95.jpg"
"Norðaustur",2,"Þórður Már Jónsson","cand ok","/kosningar2013/frambod/fulltrui/THordur-Mar-Jonsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/%D1%88%D0%B2rur_M%D0%B0r_J%D0%B2nsson_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",3,"Viðir Benediktsson","cand ok","/kosningar2013/frambod/fulltrui/Vidir-Benediktsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/vidir_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",4,"Sigríður Lára Sigurjónsdóttir","cand not","/kosningar2013/frambod/fulltrui/Sigridur-Lara-Sigurjonsdottir/","Lýðræðisvaktin",0,"/media/althingi2013/frambjodendur/sigridurlarasigurjons_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",5,"Oddur Sigurðsson","cand not","/kosningar2013/frambod/fulltrui/Oddur-Sigurdsson/","Lýðræðisvaktin",0,"/media/althingi2013/frambjodendur/oddurSig_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",1,"Magnús Þórarinn Thorlacius","cand ok","/kosningar2013/frambod/fulltrui/magnus-thorarinn-thorlacius/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/Magn%C3%BAs_%C3%9E%C3%B3rarinn_Thorlacius_1NA_jpg_310x400_crop_upscale_q95.jpg"
